Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
65.0,258.0,5.0,4.0,1.0,nan,35778.0,35795.0,0.0002,1436.12,3901.0,2500.0,nan,36821.0,15.0,134.0,47.0,0.0,97.0,6.0,-1.256287996,0.000872665
65.0,258.0,5.0,4.0,1.0,nan,35773.0,35798.0,0.0003,1436.08,1935.0,912.0,6500.0,36783.0,15.0,134.0,47.0,3.0,9.0,6.0,-2.3900538780000002,0.000174533
65.0,258.0,5.0,4.0,1.0,nan,35773.0,35798.0,0.0003,1436.07,2015.0,919.0,3300.0,36879.0,15.0,134.0,47.0,3.0,9.0,6.0,-2.42600766,0.000523599
65.0,258.0,5.0,4.0,1.0,nan,35773.0,35798.0,0.0003,1436.08,4100.0,2000.0,10000.0,37779.0,15.0,9.0,9.0,0.0,97.0,6.0,-1.447750615,0.000872665
33.0,139.0,16.0,4.0,1.0,nan,35778.0,35794.0,0.00018999999999999998,1436.08,1400.0,646.0,1900.0,37982.0,12.0,110.0,21.0,0.0,111.0,6.0,-0.069464104,0.000872665
33.0,284.0,16.0,4.0,1.0,nan,35783.0,35789.0,7e-05,1436.1,nan,nan,nan,39566.0,12.0,110.0,21.0,0.0,139.0,6.0,-0.069638637,0.000698132
33.0,284.0,16.0,4.0,1.0,nan,35633.0,35796.0,0.0019399999999999999,1432.0,nan,nan,nan,41517.0,12.0,110.0,21.0,0.0,136.0,nan,1.134464014,0.000174533
33.0,284.0,16.0,4.0,1.0,nan,35595.0,36007.0,0.00488,1436.08,1600.0,nan,nan,40888.0,15.0,193.0,33.0,0.0,98.0,8.0,0.296705973,0.001570796
65.0,7.0,0.0,0.0,2.0,6.0,1440.0,1459.0,0.00121,114.9,29.0,nan,nan,27348.0,nan,15.0,47.0,21.0,31.0,36.0,nan,1.7697638619999998
9.0,298.0,5.0,4.0,1.0,nan,35778.0,35793.0,0.00018,1436.08,4710.0,2950.0,15500.0,36851.0,15.0,31.0,47.0,3.0,4.0,6.0,-1.872214689,0.000349066
9.0,298.0,5.0,4.0,1.0,nan,35777.0,35795.0,0.00021,1436.1,4500.0,nan,10000.0,38604.0,15.0,70.0,13.0,0.0,98.0,6.0,-1.8727382869999998,0.000349066
9.0,298.0,5.0,4.0,1.0,nan,35781.0,35790.0,0.00011,1436.08,5910.0,3805.0,16000.0,38186.0,15.0,31.0,47.0,3.0,7.0,6.0,-1.9385371999999998,0.000174533
